number,name,form,classification,type-1,type-2,ability-1,ability-2,ability-hidden,predecessors,successors,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Colosseum,XD,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu!,Let's Go Eevee!,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Scarlet,Violet
1,Bulbasaur,,,Grass,Poison,Overgrow,,Chlorophyll,,2,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,T,T,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,T,T,S,S,C,C,RD,RD,C,C,—,CD,CD
2,Ivysaur,,,Grass,Poison,Overgrow,,Chlorophyll,1,3,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,T,T,E,E,E,E,DA,DA,E,E,—,ED,ED
3,Venusaur,,,Grass,Poison,Overgrow,,Chlorophyll,2,,E,E,E,E,Ev,Ev,Ev,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,T,T,E,E,E,E,DD,DD,E,E,—,ED,ED
4,Charmander,,,Fire,,Blaze,,Solar Power,,5,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,Ev,Ev,Ev,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,EvB,EvB,S,S,C,C,R,R,C,C,—,CD,CD
5,Charmeleon,,,Fire,,Blaze,,Solar Power,4,6,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,EvE,EvE,EvE,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,EvB,EvB,E,E,E,E,D,D,E,E,—,ED,ED
6,Charizard,,,Fire,Flying,Blaze,,Solar Power,5,,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,T,T,EvE,EvE,EvE,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,Ev,Ev,E,E,C,C,D,D,E,E,—,ED,ED
7,Squirtle,,,Water,,Torrent,,Rain Dish,,8,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,T,T,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,T,T,S,S,C,C,RD,RD,C,C,—,CD,CD
8,Wartortle,,,Water,,Torrent,,Rain Dish,7,9,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,T,T,E,E,E,E,DA,DA,E,E,—,ED,ED
9,Blastoise,,,Water,,Torrent,,Rain Dish,8,,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,T,T,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,T,T,E,E,E,E,DD,DD,E,E,—,ED,ED
10,Caterpie,,,Bug,,Shield Dust,,Run Away,,11,C,C,C,C,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,DWB,B,T,B,C,C,T,T,C,C,C,C,C,C,C,C,C,T,—,—,—
11,Metapod,,,Bug,,Shed Skin,,,10,12,C,C,C,C,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,DWB,C,T,B,E,C,T,T,C,C,C,C,C,C,C,C,E,T,—,—,—
12,Butterfree,,,Bug,Flying,Compound Eyes,,Tinted Lens,11,,E,E,E,E,C,C,C,T,T,E,E,T,T,S,DE,DE,DE,C,C,DW,C,T,C,E,E,T,T,C,C,C,C,C,E,C,C,E,T,—,—,—
13,Weedle,,,Bug,Poison,Shield Dust,,Run Away,,14,C,C,C,T,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,B,DWB,B,T,C,C,B,B,T,T,B,B,C,C,—,—,T,C,—,—,—
14,Kakuna,,,Bug,Poison,Shed Skin,,,13,15,C,C,C,T,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,C,DWB,B,T,C,E,C,C,T,T,B,B,C,C,—,—,T,E,—,—,—
15,Beedrill,,,Bug,Poison,Swarm,,Sniper,14,,E,E,E,T,C,C,C,T,T,E,E,T,T,S,DE,DE,DE,C,C,C,DW,C,T,E,E,E,E,T,T,S,S,E,C,—,—,T,E,—,—,—
16,Pidgey,,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,17,C,C,C,C,C,C,C,T,T,C,C,T,T,T,S,S,C,C,C,DW,C,DW,DW,C,C,B,B,T,T,B,B,C,C,—,—,S,S,—,—,—
17,Pidgeotto,,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,16,18,C,C,C,C,C,C,C,T,T,C,C,T,T,S,E,E,E,C,C,DWE,E,DWE,DWE,E,E,C,C,T,T,B,B,C,C,—,—,E,E,—,—,—
18,Pidgeot,,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,17,,E,E,E,E,E,E,E,T,T,E,E,T,T,E,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,S,S,C,C,—,—,E,E,—,—,—
19a,Rattata,Normal,,Normal,,Run Away,Guts,Hustle,,20a,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,B,B,C,C,T,T,C,C,T,T,T,T,C,C,—,—,C,C,—,—,—
19b,Rattata,Alolan,,Dark,Normal,Gluttony,Hustle,Thick Fat,,20b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,—,—,—,—,—,—,—
20a,Raticate,Normal,,Normal,,Run Away,Guts,Hustle,19a,,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,C,C,C,C,T,T,C,C,T,T,T,T,C,C,—,—,C,C,—,—,—
20b,Raticate,Alolan,,Dark,Normal,Gluttony,Hustle,Thick Fat,19b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,—,—,—,—,—,—,—
21,Spearow,,,Normal,Flying,Keen Eye,,Sniper,,22,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,B,B,B,B,B,B,T,T,C,C,C,C,C,C,—,—,C,C,—,—,—
22,Fearow,,,Normal,Flying,Keen Eye,,Sniper,21,,C,C,C,C,C,C,C,T,T,C,C,T,T,E,C,C,C,C,C,C,C,S,S,C,C,T,T,C,C,C,C,C,C,—,—,C,C,—,—,—
23,Ekans,,,Poison,,Intimidate,Shed Skin,Unnerve,,24,C,T,T,T,R,C,C,Ev,Ev,C,Ev,Ev,T,T,D,D,D,C,C,DW,DW,DW,DW,C,C,T,T,T,T,C,C,T,C,—,—,C,T,—,CD,CD
24,Arbok,,,Poison,,Intimidate,Shed Skin,Unnerve,23,,C,T,T,T,E,C,C,EvE,EvE,C,EvE,EvE,T,S,D,D,D,C,C,DWE,DWE,DWE,DWE,C,C,T,T,T,T,R,R,T,C,—,—,E,T,—,CD,CD
25,Pikachu,,,Electric,,Static,,Lightning Rod,172,"26,26a",C,C,C,R,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,Ev,Ev,Ev,Ev,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
26a,Raichu,Normal,,Electric,,Static,,Lightning Rod,25,,C,C,C,EvE,E,E,E,E,E,E,E,E,T,T,E,E,E,E,E,EvE,EvE,EvE,EvE,E,E,E,E,T,T,E,E,E,E,D,D,E,E,C,C,C
26b,Raichu,Alolan,,Electric,Psychic,Surge Surfer,,,25,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,R,R,RD,RD,—,—,—,EVD,EVD
27a,Sandshrew,Normal,,Ground,,Sand Veil,,Sand Rush,,28a,T,C,C,C,C,R,C,C,C,Ev,C,C,T,C,D,D,D,C,C,B,B,C,C,B,B,C,C,T,T,T,T,C,T,CD,CD,T,C,—,CD,CD
27b,Sandshrew,Alolan,,Ice,Steel,Snow Cloak,,Slush Rush,,28b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,T,C,R,T,RD,RD,—,—,—,CCD,CD
28a,Sandslash,Normal,,Ground,,Sand Veil,,Sand Rush,27a,,T,C,C,C,C,E,C,E,E,EvE,C,E,T,E,D,D,D,C,C,C,C,C,C,C,C,E,E,T,T,T,T,E,T,CD,CD,T,C,—,CD,CD
28b,Sandslash,Alolan,,Ice,Steel,Snow Cloak,,Slush Rush,27b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,E,T,E,E,T,ED,ED,—,—,—,CCD,CD
29,Nidoran?,,,Poison,,Poison Point,Rivalry,Hustle,,30,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DW,C,C,C,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
30,Nidorina,,,Poison,,Poison Point,Rivalry,Hustle,29,31,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DWE,E,E,E,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
31,Nidoqueen,,,Poison,Ground,Poison Point,Rivalry,Sheer Force,30,,E,E,E,E,E,E,E,T,T,E,E,T,T,T,E,E,E,E,E,DWE,E,E,E,E,E,T,T,T,T,EvB,EvB,C,C,CD,CD,E,E,—,—,—
32,Nidoran?,,,Poison,,Poison Point,Rivalry,Hustle,,33,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DW,C,C,C,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
33,Nidorino,,,Poison,,Poison Point,Rivalry,Hustle,32,34,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DWE,E,E,E,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—,—,—
34,Nidoking,,,Poison,Ground,Poison Point,Rivalry,Sheer Force,33,,E,E,E,E,E,E,E,T,T,E,E,T,T,T,E,E,E,E,E,DWE,E,E,E,E,E,T,T,T,T,Ev,Ev,C,C,CD,CD,E,E,—,—,—
35,Clefairy,,,Fairy,,Cute Charm,Magic Guard,Friend Guard,,36,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,C,C,C,FS,FS,C,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD
36,Clefable,,,Fairy,,Cute Charm,Magic Guard,Unaware,35,,E,E,R,E,E,E,E,T,T,E,E,T,T,T,E,E,E,E,E,C,C,C,C,FSE,FSE,E,E,E,E,E,E,C,C,C,C,E,E,C,CD,CD
37a,Vulpix,Normal,,Fire,,Flash Fire,,Drought,,38a,T,C,T,R,T,C,T,C,C,Ev,C,C,T,S,D,D,D,T,C,C,C,C,C,FSB,FSB,C,C,T,T,T,T,T,C,C,C,T,C,C,CD,CD
37b,Vulpix,Alolan,,Ice,,Snow Cloak,,Snow Warning,,38b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,Ev,C,T,T,R,RD,RD,—,—,R,CD,CCD
38a,Ninetales,Normal,,Fire,,Flash Fire,,Drought,37a,,T,E,T,E,T,E,T,E,E,EvE,E,E,T,E,DE,DE,DE,T,E,C,C,C,C,FS,FS,E,E,T,T,T,T,T,C,C,D,T,E,C,CD,CD
38b,Ninetales,Alolan,,Ice,Fairy,Snow Cloak,,Snow Warning,37b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,EvE,E,T,T,E,ED,ED,—,—,E,CD,CCD
39,Jigglypuff,,,Normal,Fairy,Cute Charm,Competitive,Friend Guard,174,40,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,S,S,—,C,C
40,Wigglytuff,,,Normal,Fairy,Cute Charm,Competitive,Frisk,39,,C,C,C,R,E,E,E,E,E,E,E,E,T,T,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,E,E,E,E,CD,CD,E,E,—,C,C
41,Zubat,,,Poison,Flying,Inner Focus,,Infiltrator,,42,C,C,C,C,C,C,C,C,C,C,C,C,T,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
42,Golbat,,,Poison,Flying,Inner Focus,,Infiltrator,41,169,C,C,C,C,C,C,C,C,C,C,C,C,T,E,C,C,C,C,C,C,C,C,C,E,E,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
43,Oddish,,,Grass,Poison,Chlorophyll,,Run Away,,44,C,T,C,C,C,C,C,C,C,C,Ev,C,T,T,C,C,C,C,C,DW,C,DW,DW,C,C,C,C,T,T,T,T,C,T,C,C,C,C,—,CD,CD
44,Gloom,,,Grass,Poison,Chlorophyll,,Stench,43,"45,182",C,T,C,C,C,C,C,C,C,C,EvE,C,T,T,C,C,C,C,C,DWE,E,DWE,DWE,E,E,C,C,T,T,T,T,C,T,C,C,C,C,—,CD,CD
45,Vileplume,,,Grass,Poison,Chlorophyll,,Effect Spore,44,,E,T,E,E,E,E,E,E,E,E,EvE,E,T,T,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,T,T,C,T,C,C,E,E,—,CD,CD
46,Paras,,,Bug,Grass,Effect Spore,Dry Skin,Damp,,47,C,C,C,C,C,C,C,T,T,C,C,T,T,S,S,S,S,C,C,DW,S,DW,DW,FS,FS,C,C,C,C,C,C,C,C,—,—,S,S,C,—,—
47,Parasect,,,Bug,Grass,Effect Spore,Dry Skin,Damp,46,,C,C,C,C,E,E,C,T,T,C,C,T,T,E,E,E,E,C,C,DWE,E,DWE,DWE,FSE,FSE,E,E,E,E,C,C,E,E,—,—,E,E,C,—,—
48,Venonat,,,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,,49,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,B,B,C,C,FSB,FSB,B,B,T,T,T,T,C,C,—,—,C,C,—,C,C
49,Venomoth,,,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,48,,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,C,C,E,E,FS,FS,C,C,T,T,T,T,C,C,—,—,C,C,—,C,C
50a,Diglett,Normal,,Ground,,Sand Veil,Arena Trap,Sand Force,,51a,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,DW,DW,DW,DW,B,B,C,C,T,T,T,T,C,C,C,C,C,C,—,C,C
50b,Diglett,Alolan,,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,,51b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,RD,RD,—,—,—,CD,CD
51a,Dugtrio,Normal,,Ground,,Sand Veil,Arena Trap,Sand Force,50a,,C,C,C,C,C,C,C,T,T,C,C,T,T,S,C,C,C,C,C,DWE,DWE,DWE,DWE,C,C,E,E,T,T,T,T,C,C,C,C,C,C,—,C,C
51b,Dugtrio,Alolan,,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,50b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,ED,ED,—,—,—,CD,CD
52a,Meowth,Normal,,Normal,,Pickup,Technician,Unnerve,,53a,T,C,C,T,T,C,C,Ev,Ev,C,C,R,T,S,S,S,S,T,C,DW,DW,R,R,T,T,B,B,T,T,T,T,T,C,R,R,S,S,—,C,C
52b,Meowth,Alolan,,Dark,,Pickup,Technician,Rattled,,53b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,R,RD,RD,—,—,—,T,T
52c,Meowth,Galarian,,Steel,,Pickup,Tough Claws,Unnerve,,863,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—,R,R
53a,Persian,Normal,,Normal,,Limber,Technician,Unnerve,52a,,T,E,E,T,T,C,C,EvE,EvE,C,C,E,T,E,E,E,E,T,C,DWE,DWE,E,E,T,T,C,C,T,T,T,T,R,E,E,E,E,E,—,C,C
53b,Persian,Alolan,,Dark,,Fur Coat,Technician,Rattled,52b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,T,E,ED,ED,—,—,—,T,T
54,Psyduck,,,Water,,Damp,Cloud Nine,Swift Swim,,55,C,C,C,C,C,C,C,C,C,C,Ev,C,T,T,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,C,C
55,Golduck,,,Water,,Damp,Cloud Nine,Swift Swim,54,,C,C,E,C,C,C,C,C,C,C,EvE,C,T,S,C,C,C,C,C,C,C,C,C,E,E,E,E,C,C,C,C,C,C,CD,CD,E,E,C,C,C
56,Mankey,,,Fighting,,Vital Spirit,Anger Point,Defiant,,57,C,T,T,C,C,T,T,T,T,C,C,T,T,T,C,C,C,C,T,S,S,R,R,FS,FS,C,C,C,C,C,C,C,T,—,—,C,C,—,C,C
57,Primeape,,,Fighting,,Vital Spirit,Anger Point,Defiant,56,979,E,T,T,C,C,T,T,T,T,C,C,T,T,S,C,C,C,C,T,E,E,E,E,FSE,FSE,E,E,C,C,C,C,E,T,—,—,C,C,—,C,C
58a,Growlithe,,,Fire,,Intimidate,Flash Fire,Justified,,59a,C,T,C,C,C,T,C,Ev,Ev,C,Ev,Ev,T,S,D,D,D,C,T,DW,DW,C,C,FS,FS,C,C,C,C,C,C,C,T,C,C,C,T,—,C,C
58b,Growlithe,Hisuian,,Fire,Rock,Intimidate,Flash Fire,Rock Head,,59b,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,RD,RD
59a,Arcanine,,,Fire,,Intimidate,Flash Fire,Justified,58a,,E,T,E,E,E,T,E,EvE,EvE,E,EvE,EvE,T,E,DE,DE,DE,E,T,DWE,DWE,E,E,FSE,FSE,E,E,E,E,E,E,C,R,D,C,E,T,—,C,C
59b,Arcanine,Hisuian,,Fire,Rock,Intimidate,Flash Fire,Rock Head,58b,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,ED,ED
60,Poliwag,,,Water,,Water Absorb,Damp,Swift Swim,,61,C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,CD,CD,C,C,—,CD,CD
61,Poliwhirl,,,Water,,Water Absorb,Damp,Swift Swim,60,"62,186",C,C,C,C,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,C,C,C,C,C,T,T,R,R,C,C,C,C,CD,CD,C,C,—,CD,CD
62,Poliwrath,,,Water,,Water Absorb,Damp,Swift Swim,61,,E,E,E,E,E,E,E,T,T,E,E,T,T,S,E,E,E,E,E,C,C,C,C,C,C,T,T,C,C,C,C,C,C,CD,CD,E,E,—,CD,CD
63,Abra,,,Psychic,,Synchronize,Inner Focus,Magic Guard,,64,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,DW,C,B,B,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C,—,—
