number,name,form-name,form-type,type-1,type-2,ability-1,ability-2,ability-hidden,predecessors,successors
1,Bulbasaur,,,Grass,Poison,Overgrow,,Chlorophyll,,2
2,Ivysaur,,,Grass,Poison,Overgrow,,Chlorophyll,1,3
3,Venusaur,,,Grass,Poison,Overgrow,,Chlorophyll,2,
4,Charmander,,,Fire,,Blaze,,Solar Power,,5
5,Charmeleon,,,Fire,,Blaze,,Solar Power,4,6
6,Charizard,,,Fire,Flying,Blaze,,Solar Power,5,
7,Squirtle,,,Water,,Torrent,,Rain Dish,,8
8,Wartortle,,,Water,,Torrent,,Rain Dish,7,9
9,Blastoise,,,Water,,Torrent,,Rain Dish,8,
10,Caterpie,,,Bug,,Shield Dust,,Run Away,,11
11,Metapod,,,Bug,,Shed Skin,,,10,12
12,Butterfree,,,Bug,Flying,Compound Eyes,,Tinted Lens,11,
13,Weedle,,,Bug,Poison,Shield Dust,,Run Away,,14
14,Kakuna,,,Bug,Poison,Shed Skin,,,13,15
15,Beedrill,,,Bug,Poison,Swarm,,Sniper,14,
16,Pidgey,,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,,17
17,Pidgeotto,,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,16,18
18,Pidgeot,,,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,17,
19,Rattata,,,Normal,,Run Away,Guts,Hustle,,20
20,Raticate,,,Normal,,Run Away,Guts,Hustle,19,
21,Spearow,,,Normal,Flying,Keen Eye,,Sniper,,22
22,Fearow,,,Normal,Flying,Keen Eye,,Sniper,21,
23,Ekans,,,Poison,,Intimidate,Shed Skin,Unnerve,,24
24,Arbok,,,Poison,,Intimidate,Shed Skin,Unnerve,23,
25,Pikachu,,,Electric,,Static,,Lightning Rod,172,"26,26a"
26,Raichu,,,Electric,,Static,,Lightning Rod,25,
26a,Raichu,Alolan Form,Regional,Electric,Psychic,Surge Surfer,,,25,
27,Sandshrew,,,Ground,,Sand Veil,,Sand Rush,,28
28,Sandslash,,,Ground,,Sand Veil,,Sand Rush,27,
29,Nidoran♀,,,Poison,,Poison Point,Rivalry,Hustle,,30
30,Nidorina,,,Poison,,Poison Point,Rivalry,Hustle,29,31
31,Nidoqueen,,,Poison,Ground,Poison Point,Rivalry,Sheer Force,30,
32,Nidoran♂,,,Poison,,Poison Point,Rivalry,Hustle,,33
33,Nidorino,,,Poison,,Poison Point,Rivalry,Hustle,32,34
34,Nidoking,,,Poison,Ground,Poison Point,Rivalry,Sheer Force,33,
35,Clefairy,,,Fairy,,Cute Charm,Magic Guard,Friend Guard,,36
36,Clefable,,,Fairy,,Cute Charm,Magic Guard,Unaware,35,
37,Vulpix,,,Fire,,Flash Fire,,Drought,,38
38,Ninetales,,,Fire,,Flash Fire,,Drought,37,
39,Jigglypuff,,,Normal,Fairy,Cute Charm,Competitive,Friend Guard,174,40
40,Wigglytuff,,,Normal,Fairy,Cute Charm,Competitive,Frisk,39,
41,Zubat,,,Poison,Flying,Inner Focus,,Infiltrator,,42
42,Golbat,,,Poison,Flying,Inner Focus,,Infiltrator,41,169
43,Oddish,,,Grass,Poison,Chlorophyll,,Run Away,,44
44,Gloom,,,Grass,Poison,Chlorophyll,,Stench,43,"45,182"
45,Vileplume,,,Grass,Poison,Chlorophyll,,Effect Spore,44,
46,Paras,,,Bug,Grass,Effect Spore,Dry Skin,Damp,,47
47,Parasect,,,Bug,Grass,Effect Spore,Dry Skin,Damp,46,
48,Venonat,,,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,,49
49,Venomoth,,,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,48,
50,Diglett,,,Ground,,Sand Veil,Arena Trap,Sand Force,,51
51,Dugtrio,,,Ground,,Sand Veil,Arena Trap,Sand Force,50,
52,Meowth,,,Normal,,Pickup,Technician,Unnerve,,53
53,Persian,,,Normal,,Limber,Technician,Unnerve,52,
54,Psyduck,,,Water,,Damp,Cloud Nine,Swift Swim,,55
55,Golduck,,,Water,,Damp,Cloud Nine,Swift Swim,54,
56,Mankey,,,Fighting,,Vital Spirit,Anger Point,Defiant,,57
57,Primeape,,,Fighting,,Vital Spirit,Anger Point,Defiant,56,
58,Growlithe,,,Fire,,Intimidate,Flash Fire,Justified,,59
59,Arcanine,,,Fire,,Intimidate,Flash Fire,Justified,58,
60,Poliwag,,,Water,,Water Absorb,Damp,Swift Swim,,61
61,Poliwhirl,,,Water,,Water Absorb,Damp,Swift Swim,60,"62,186"
62,Poliwrath,,,Water,,Water Absorb,Damp,Swift Swim,61,
63,Abra,,,Psychic,,Synchronize,Inner Focus,Magic Guard,,64
64,Kadabra,,,Psychic,,Synchronize,Inner Focus,Magic Guard,63,65
65,Alakazam,,,Psychic,,Synchronize,Inner Focus,Magic Guard,64,
66,Machop,,,Fighting,,Guts,No Guard,Steadfast,,67
67,Machoke,,,Fighting,,Guts,No Guard,Steadfast,66,68
68,Machamp,,,Fighting,,Guts,No Guard,Steadfast,67,
69,Bellsprout,,,Grass,Poison,Chlorophyll,,Gluttony,,70
70,Weepinbell,,,Grass,Poison,Chlorophyll,,Gluttony,69,71
71,Victreebel,,,Grass,Poison,Chlorophyll,,Gluttony,70,
72,Tentacool,,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,,73
73,Tentacruel,,,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,72,
74,Geodude,,,Rock,Ground,Rock Head,Sturdy,Sand Veil,,75
75,Graveler,,,Rock,Ground,Rock Head,Sturdy,Sand Veil,74,76
76,Golem,,,Rock,Ground,Rock Head,Sturdy,Sand Veil,75,
77,Ponyta,,,Fire,,Run Away,Flash Fire,Flame Body,,78
78,Rapidash,,,Fire,,Run Away,Flash Fire,Flame Body,77,
79,Slowpoke,,,Water,Psychic,Oblivious,Own Tempo,Regenerator,,80
80,Slowbro,,,Water,Psychic,Oblivious,Own Tempo,Regenerator,79,199
81,Magnemite,,,Electric,Steel,Magnet Pull,Sturdy,Analytic,,82
82,Magneton,,,Electric,Steel,Magnet Pull,Sturdy,Analytic,81,462
83,Farfetch'd,,,Normal,Flying,Keen Eye,Inner Focus,Defiant,,
84,Doduo,,,Normal,Flying,Run Away,Early Bird,Tangled Feet,,85
85,Dodrio,,,Normal,Flying,Run Away,Early Bird,Tangled Feet,84,
86,Seel,,,Water,,Thick Fat,Hydration,Ice Body,,87
87,Dewgong,,,Water,Ice,Thick Fat,Hydration,Ice Body,86,
88,Grimer,,,Poison,,Stench,Sticky Hold,Poison Touch,,89
89,Muk,,,Poison,,Stench,Sticky Hold,Poison Touch,88,
90,Shellder,,,Water,,Shell Armor,Skill Link,Overcoat,,91
91,Cloyster,,,Water,Ice,Shell Armor,Skill Link,Overcoat,90,
92,Gastly,,,Ghost,Poison,Levitate,,,,93
93,Haunter,,,Ghost,Poison,Levitate,,,92,94
94,Gengar,,,Ghost,Poison,Cursed Body,,,93,
95,Onix,,,Rock,Ground,Rock Head,Sturdy,Weak Armor,,208
96,Drowzee,,,Psychic,,Insomnia,Forewarn,Inner Focus,,97
97,Hypno,,,Psychic,,Insomnia,Forewarn,Inner Focus,96,
98,Krabby,,,Water,,Hyper Cutter,Shell Armor,Sheer Force,,99
99,Kingler,,,Water,,Hyper Cutter,Shell Armor,Sheer Force,98,
100,Voltorb,,,Electric,,Soundproof,Static,Aftermath,,101
101,Electrode,,,Electric,,Soundproof,Static,Aftermath,100,
102,Exeggcute,,,Grass,Psychic,Chlorophyll,,Harvest,,"103,103a"
103,Exeggutor,,,Grass,Psychic,Chlorophyll,,Harvest,102,
104,Cubone,,,Ground,,Rock Head,Lightning Rod,Battle Armor,,"105,105a"
105,Marowak,,,Ground,,Rock Head,Lightning Rod,Battle Armor,104,
106,Hitmonlee,,,Fighting,,Limber,Reckless,Unburden,236,
107,Hitmonchan,,,Fighting,,Keen Eye,Iron Fist,Inner Focus,236,
108,Lickitung,,,Normal,,Own Tempo,Oblivious,Cloud Nine,,463
109,Koffing,,,Poison,,Levitate,Neutralizing Gas,Stench,,"110,110a"
110,Weezing,,,Poison,,Levitate,Neutralizing Gas,Stench,109,
111,Rhyhorn,,,Rock,Ground,Lightning Rod,Rock Head,Reckless,,112
112,Rhydon,,,Rock,Ground,Lightning Rod,Rock Head,Reckless,111,464
113,Chansey,,,Normal,,Natural Cure,Serene Grace,Healer,440,242
114,Tangela,,,Grass,,Chlorophyll,Leaf Guard,Regenerator,,465
115,Kangaskhan,,,Normal,,Early Bird,Scrappy,Inner Focus,,
116,Horsea,,,Water,,Swift Swim,Sniper,Damp,,117
117,Seadra,,,Water,,Poison Point,Sniper,Damp,116,230
118,Goldeen,,,Water,,Swift Swim,Water Veil,Lightning Rod,,119
119,Seaking,,,Water,,Swift Swim,Water Veil,Lightning Rod,118,
120,Staryu,,,Water,,Illuminate,Natural Cure,Analytic,,121
121,Starmie,,,Water,Psychic,Illuminate,Natural Cure,Analytic,120,
122,Mr.Mime,,,Psychic,Fairy,Soundproof,Filter,Technician,439,
123,Scyther,,,Bug,Flying,Swarm,Technician,Steadfast,,212
124,Jynx,,,Ice,Psychic,Oblivious,Forewarn,Dry Skin,238,
125,Electabuzz,,,Electric,,Static,,Vital Spirit,239,466
126,Magmar,,,Fire,,Flame Body,,Vital Spirit,240,467
127,Pinsir,,,Bug,,Hyper Cutter,Mold Breaker,Moxie,,
128,Tauros,,,Normal,,Intimidate,Anger Point,Sheer Force,,
129,Magikarp,,,Water,,Swift Swim,,Rattled,,130
130,Gyarados,,,Water,Flying,Intimidate,,Moxie,129,
